address,search_key,suburb,street_id,street_name,street_key,latitude,longitude
1 Bank Place Melbourne,1 bank place melbourne,Central City,412,Bank Place,Central City|412,-37.81702511,144.96057299
1 Barak Street Parkville,1 barak street parkville,Parkville,119273,Barak Street,Parkville|119273,-37.77783176,144.94091217
1 Barkly Street Carlton,1 barkly street carlton,Carlton,415,Barkly Street,Carlton|415,-37.79830832,144.97462521
1 Barrett Street Kensington,1 barrett street kensington,Kensington,418,Barrett Street,Kensington|418,-37.79682101,144.93422171
1 Barring Mews Docklands,1 barring mews docklands,Docklands,120036,Barring Mews,Docklands|120036,-37.82312684,144.93855218
1 Barrup Street Carlton,1 barrup street carlton,Carlton,419,Barrup Street,Carlton|419,-37.80045423,144.97346509
1 Barry Street Carlton,1 barry street carlton,Carlton,421,Barry Street,Carlton|421,-37.80405480,144.96005674
1 Barwise Street North Melbourne,1 barwise street north melbourne,North and West Melbourne,2991,Barwise Street,North and West Melbourne|2991,-37.80063411,144.93949471
1 Baskerville Lane Melbourne,1 baskerville lane melbourne,Central City,120178,Baskerville Lane,Central City|120178,-37.80974354,144.96275414
1 Bateman Road Kensington,1 bateman road kensington,Kensington,1444,Bateman Road,Kensington|1444,-37.79498108,144.91909536
1 Batman Street West Melbourne,1 batman street west melbourne,North and West Melbourne,423,Batman Street,North and West Melbourne|423,-37.81051848,144.95279909
1 Batmans Hill Drive Docklands,1 batmans hill drive docklands,Docklands,117957,Batmans Hill Drive,Docklands|117957,-37.82207512,144.94958458
1 Baulderstone Walk Kensington,1 baulderstone walk kensington,Kensington,2045,Baulderstone Walk,Kensington|2045,-37.79524190,144.92104673
1 Bayles Street Parkville,1 bayles street parkville,Parkville,424,Bayles Street,Parkville|424,-37.79457906,144.95780712
1 Bayswater Road Kensington,1 bayswater road kensington,Kensington,425,Bayswater Road,Kensington|425,-37.79261685,144.92526510
1 Bedford Place North Melbourne,1 bedford place north melbourne,North and West Melbourne,427,Bedford Place,North and West Melbourne|427,-37.80165332,144.95613909
1 Bedford Street North Melbourne,1 bedford street north melbourne,North and West Melbourne,428,Bedford Street,North and West Melbourne|428,-37.80269354,144.95518713
1 Belmont Road Kensington,1 belmont road kensington,Kensington,432,Belmont Road,Kensington|432,-37.79252857,144.92382420
1 Bendall Street Kensington,1 bendall street kensington,Kensington,119679,Bendall Street,Kensington|119679,-37.78891114,144.92460536
1 Bendigo Street North Melbourne,1 bendigo street north melbourne,North and West Melbourne,434,Bendigo Street,North and West Melbourne|434,-37.80226623,144.95082677
1 Benjamin Street Parkville,1 benjamin street parkville,Parkville,436,Benjamin Street,Parkville|436,-37.79663502,144.95527567
1 Bennetts Lane Melbourne,1 bennetts lane melbourne,Central City,437,Bennetts Lane,Central City|437,-37.80943963,144.96792558
1 Benson Walk Melbourne,1 benson walk melbourne,Central City,120181,Benson Walk,Central City|120181,-37.81383863,144.97095678
1 Bent Street Kensington,1 bent street kensington,Kensington,440,Bent Street,Kensington|440,-37.79661482,144.93514612
1 Berkeley Street Melbourne,1 berkeley street melbourne,Central City,441,Berkeley Street,Central City|441,-37.80533404,144.95991590
1 Berry Street East Melbourne,1 berry street east melbourne,East Melbourne,442,Berry Street,East Melbourne|442,-37.81920132,144.98844497
1 Bickford Lane North Melbourne,1 bickford lane north melbourne,North and West Melbourne,2931,Bickford Lane,North and West Melbourne|2931,-37.79709406,144.94987631
1 Birch Lane Kensington,1 birch lane kensington,Kensington,357,Birch Lane,Kensington|357,-37.79286179,144.92135130
1 Blackwood Street North Melbourne,1 blackwood street north melbourne,North and West Melbourne,446,Blackwood Street,North and West Melbourne|446,-37.80182230,144.95417444
1 Blair Place North Melbourne,1 blair place north melbourne,North and West Melbourne,447,Blair Place,North and West Melbourne|447,-37.80488076,144.95208463
1 Bligh Place Melbourne,1 bligh place melbourne,Central City,1210,Bligh Place,Central City|1210,-37.81734090,144.96376856
1 Block Place Melbourne,1 block place melbourne,Central City,448,Block Place,Central City|448,-37.81559355,144.96444520
1 Boathouse Drive Melbourne,1 boathouse drive melbourne,Central City,117829,Boathouse Drive,Central City|117829,-37.81971075,144.97162440
1 Bond Street Melbourne,1 bond street melbourne,Central City,451,Bond Street,Central City|451,-37.81860720,144.96290261
1 Boundary Road North Melbourne,1 boundary road north melbourne,North and West Melbourne,453,Boundary Road,North and West Melbourne|453,-37.79711952,144.93841584
1 Bourke Place Melbourne,1 bourke place melbourne,Central City,454,Bourke Place,Central City|454,-37.81568783,144.95581527
1 Bourke Street Melbourne,1 bourke street melbourne,Central City,455,Bourke Street,Central City|455,-37.81153967,144.97291445
1 Bouverie Street Carlton,1 bouverie street carlton,Carlton,456,Bouverie Street,Carlton|456,-37.80631086,144.96126879
1 Brahe Place East Melbourne,1 brahe place east melbourne,East Melbourne,3059,Brahe Place,East Melbourne|3059,-37.81587761,144.98974037
1 Brentani Way Docklands,1 brentani way docklands,Docklands,118681,Brentani Way,Docklands|118681,-37.82124036,144.95088148
1 Bromby Street South Yarra,1 bromby street south yarra,South Yarra,466,Bromby Street,South Yarra|466,-37.83527002,144.97841555
1 Brougham Street North Melbourne,1 brougham street north melbourne,North and West Melbourne,467,Brougham Street,North and West Melbourne|467,-37.79400004,144.94661733
1 Brown Alley Melbourne,1 brown alley melbourne,Central City,1265,Brown Alley,Central City|1265,-37.81523990,144.95560598
1 Browns Hill Place West Melbourne,1 browns hill place west melbourne,North and West Melbourne,117912,Browns Hill Place,North and West Melbourne|117912,-37.80238892,144.93069271
1 Bruce Street Kensington,1 bruce street kensington,Kensington,469,Bruce Street,Kensington|469,-37.79814959,144.93330377
1 Buckley Walk Docklands,1 buckley walk docklands,Docklands,120089,Buckley Walk,Docklands|120089,-37.82001485,144.94498990
1 Buncle Street North Melbourne,1 buncle street north melbourne,North and West Melbourne,119651,Buncle Street,North and West Melbourne|119651,-37.79539485,144.93994490
1 Burchett Lane East Melbourne,1 burchett lane east melbourne,East Melbourne,1402,Burchett Lane,East Melbourne|1402,-37.81477813,144.98991329
1 Butler Lane Parkville,1 butler lane parkville,Parkville,117752,Butler Lane,Parkville|117752,-37.79522329,144.95669881
1 Byron Street North Melbourne,1 byron street north melbourne,North and West Melbourne,474,Byron Street,North and West Melbourne|474,-37.80198679,144.95262363
1 Cade Way Parkville,1 cade way parkville,Parkville,119270,Cade Way,Parkville|119270,-37.77868937,144.94045848
1 Cairncross Lane Kensington,1 cairncross lane kensington,Kensington,117953,Cairncross Lane,Kensington|117953,-37.79560410,144.92475478
1 Cakebread Mews Kensington,1 cakebread mews kensington,Kensington,1403,Cakebread Mews,Kensington|1403,-37.79244261,144.91898723
1 Caledonian Lane Melbourne,1 caledonian lane melbourne,Central City,475,Caledonian Lane,Central City|475,-37.81261651,144.96463124
1 Calwell Street Kensington,1 calwell street kensington,Kensington,119673,Calwell Street,Kensington|119673,-37.78813660,144.92754919
1 Canal Mews Docklands,1 canal mews docklands,Docklands,120037,Canal Mews,Docklands|120037,-37.82325478,144.93917942
1 Canning Street Carlton,1 canning street carlton,Carlton,479,Canning Street,Carlton|479,-37.80078739,144.97218411
1 Canning Street North Melbourne,1 canning street north melbourne,North and West Melbourne,478,Canning Street,North and West Melbourne|478,-37.79665224,144.94613955
1 Capel Place North Melbourne,1 capel place north melbourne,North and West Melbourne,481,Capel Place,North and West Melbourne|481,-37.80429467,144.95521960
1 Caravel Lane Docklands,1 caravel lane docklands,Docklands,117868,Caravel Lane,Docklands|117868,-37.81392500,144.94221704
1 Cardigan Street Carlton,1 cardigan street carlton,Carlton,483,Cardigan Street,Carlton|483,-37.80663976,144.96423002
1 Carlow Place Carlton,1 carlow place carlton,Carlton,485,Carlow Place,Carlton|485,-37.79945270,144.97118373
1 Carlton Street Carlton,1 carlton street carlton,Carlton,486,Carlton Street,Carlton|486,-37.80128069,144.97410591
1 Carrangall Place Parkville,1 carrangall place parkville,Parkville,119266,Carrangall Place,Parkville|119266,-37.78004786,144.94126651
1 Carroll Street North Melbourne,1 carroll street north melbourne,North and West Melbourne,487,Carroll Street,North and West Melbourne|487,-37.79604129,144.94559652
1 Carson Place Melbourne,1 carson place melbourne,Central City,490,Carson Place,Central City|490,-37.81528914,144.96520587
1 Casamento Place Carlton,1 casamento place carlton,Carlton,117731,Casamento Place,Carlton|117731,-37.79735367,144.97089695
1 Cathedral Place East Melbourne,1 cathedral place east melbourne,East Melbourne,494,Cathedral Place,East Melbourne|494,-37.81111668,144.97790284
1 Catherine Street Southbank,1 catherine street southbank,Southbank,1362,Catherine Street,Southbank|1362,-37.82692364,144.96035338
1 Caytre Crescent North Melbourne,1 caytre crescent north melbourne,North and West Melbourne,119653,Caytre Crescent,North and West Melbourne|119653,-37.79504328,144.93995260
1 Celestial Avenue Melbourne,1 celestial avenue melbourne,Central City,496,Celestial Avenue,Central City|496,-37.81213272,144.96635869
1 Cemetery Road East Carlton,1 cemetery road east carlton,Carlton,497,Cemetery Road East,Carlton|497,-37.79268426,144.96811308
1 Central Boulevard Port Melbourne,1 central boulevard port melbourne,Fishermans Bend,1383,Central Boulevard,Fishermans Bend|1383,-37.82210375,144.91819225
1 Chapman Street North Melbourne,1 chapman street north melbourne,North and West Melbourne,500,Chapman Street,North and West Melbourne|500,-37.79795273,144.95031515
1 Charles Street Carlton,1 charles street carlton,Carlton,502,Charles Street,Carlton|502,-37.79473474,144.97253276
1 Charles Street East Melbourne,1 charles street east melbourne,East Melbourne,501,Charles Street,East Melbourne|501,-37.81843809,144.98098379
1 Chelmsford Street Kensington,1 chelmsford street kensington,Kensington,504,Chelmsford Street,Kensington|504,-37.79625983,144.93182882
1 Chetwynd Place North Melbourne,1 chetwynd place north melbourne,North and West Melbourne,2209,Chetwynd Place,North and West Melbourne|2209,-37.80280850,144.95218023
1 Chetwynd Street West Melbourne,1 chetwynd street west melbourne,North and West Melbourne,506,Chetwynd Street,North and West Melbourne|506,-37.80701338,144.95176016
1 Childers Street Kensington,1 childers street kensington,Kensington,507,Childers Street,Kensington|507,-37.79950797,144.92666416
1 Chinnock Lane Kensington,1 chinnock lane kensington,Kensington,1296,Chinnock Lane,Kensington|1296,-37.79313472,144.92162832
1 Chummie Place Carlton,1 chummie place carlton,Carlton,117735,Chummie Place,Carlton|117735,-37.80182484,144.96627426
1 Church Street Carlton,1 church street carlton,Carlton,512,Church Street,Carlton|512,-37.80108972,144.96365844
1 Church Street Melbourne,1 church street melbourne,Central City,509,Church Street,Central City|509,-37.81690307,144.95736791
1 Church Street Parkville,1 church street parkville,Parkville,510,Church Street,Parkville|510,-37.78813506,144.94125452
1 City Road Southbank,1 city road southbank,Southbank,1345,City Road,Southbank|1345,-37.82110829,144.96780840
1 Clarendon Street East Melbourne,1 clarendon street east melbourne,East Melbourne,515,Clarendon Street,East Melbourne|515,-37.81023597,144.98339686
1 Clarendon Street Southbank,1 clarendon street southbank,Southbank,1366,Clarendon Street,Southbank|1366,-37.82344806,144.95640291
1 Clifford Terrace Kensington,1 clifford terrace kensington,Kensington,117932,Clifford Terrace,Kensington|117932,-37.79521939,144.92604805
1 Cobden Street North Melbourne,1 cobden street north melbourne,North and West Melbourne,520,Cobden Street,North and West Melbourne|520,-37.80563673,144.95706316
1 Cochrane Place Carlton,1 cochrane place carlton,Carlton,522,Cochrane Place,Carlton|522,-37.79758760,144.96816116
1 Coghlan Way Kensington,1 coghlan way kensington,Kensington,117794,Coghlan Way,Kensington|117794,-37.79496469,144.92320092
1 Cohen Place Melbourne,1 cohen place melbourne,Central City,523,Cohen Place,Central City|523,-37.81128062,144.96925106
1 Colgan Street Carlton,1 colgan street carlton,Carlton,120134,Colgan Street,Carlton|120134,-37.79402748,144.97089752
1 College Crescent Parkville,1 college crescent parkville,Parkville,524,College Crescent,Parkville|524,-37.79398141,144.96471412
1 Collett Street Kensington,1 collett street kensington,Kensington,119630,Collett Street,Kensington|119630,-37.78879564,144.93383669
