address,search_key,suburb,street_id,street_name,street_key,latitude,longitude
119 George Street East Melbourne,119 george street east melbourne,East Melbourne,652,George Street,East Melbourne|652,-37.81546723,144.98647080
119 Gipps Street East Melbourne,119 gipps street east melbourne,East Melbourne,656,Gipps Street,East Melbourne|656,-37.81320976,144.98678243
119 Grey Street East Melbourne,119 grey street east melbourne,East Melbourne,677,Grey Street,East Melbourne|677,-37.81195951,144.98542326
119 Haines Street North Melbourne,119 haines street north melbourne,North and West Melbourne,685,Haines Street,North and West Melbourne|685,-37.79883144,144.94358368
119 Harbour Esplanade Docklands,119 harbour esplanade docklands,Docklands,117766,Harbour Esplanade,Docklands|117766,-37.81784191,144.94579243
119 Hardware Street Melbourne,119 hardware street melbourne,Central City,689,Hardware Street,Central City|689,-37.81208082,144.96048496
119 Hawke Street West Melbourne,119 hawke street west melbourne,North and West Melbourne,696,Hawke Street,North and West Melbourne|696,-37.80784967,144.94636947
119 Hope Street South Yarra,119 hope street south yarra,South Yarra,720,Hope Street,South Yarra|720,-37.83461218,144.97971577
119 Hotham Street East Melbourne,119 hotham street east melbourne,East Melbourne,725,Hotham Street,East Melbourne|725,-37.81435459,144.98636651
119 Howard Street North Melbourne,119 howard street north melbourne,North and West Melbourne,726,Howard Street,North and West Melbourne|726,-37.80426200,144.95375447
119 Ireland Street West Melbourne,119 ireland street west melbourne,North and West Melbourne,737,Ireland Street,North and West Melbourne|737,-37.80652154,144.94237998
119 Jeffcott Street West Melbourne,119 jeffcott street west melbourne,North and West Melbourne,740,Jeffcott Street,North and West Melbourne|740,-37.81255550,144.94967675
119 Kavanagh Street Southbank,119 kavanagh street southbank,Southbank,1348,Kavanagh Street,Southbank|1348,-37.82593336,144.96238403
119 Kensington Road Kensington,119 kensington road kensington,Kensington,753,Kensington Road,Kensington|753,-37.79831694,144.92059218
119 King Street Melbourne,119 king street melbourne,Central City,761,King Street,Central City|761,-37.81725483,144.95594768
119 La Trobe Street Melbourne,119 la trobe street melbourne,Central City,780,La Trobe Street,Central City|780,-37.80849610,144.96807463
119 Langford Street North Melbourne,119 langford street north melbourne,North and West Melbourne,774,Langford Street,North and West Melbourne|774,-37.79676201,144.93675976
119 Laurens Street North Melbourne,119 laurens street north melbourne,North and West Melbourne,781,Laurens Street,North and West Melbourne|781,-37.80269490,144.94141727
119 Leicester Street Carlton,119 leicester street carlton,Carlton,786,Leicester Street,Carlton|786,-37.80312206,144.96032643
119 Leopold Street South Yarra,119 leopold street south yarra,South Yarra,790,Leopold Street,South Yarra|790,-37.83495372,144.98315273
119 Leveson Street North Melbourne,119 leveson street north melbourne,North and West Melbourne,791,Leveson Street,North and West Melbourne|791,-37.80146158,144.95124119
119 Little Bourke Street Melbourne,119 little bourke street melbourne,Central City,809,Little Bourke Street,Central City|809,-37.81150881,144.96888139
119 Little Collins Street Melbourne,119 little collins street melbourne,Central City,812,Little Collins Street,Central City|812,-37.81345100,144.96985580
119 Little Hardiman Street Kensington,119 little hardiman street kensington,Kensington,3004,Little Hardiman Street,Kensington|3004,-37.79542267,144.93506334
119 Little Lonsdale Street Melbourne,119 little lonsdale street melbourne,Central City,825,Little Lonsdale Street,Central City|825,-37.80943786,144.96832407
119 Lonsdale Street Melbourne,119 lonsdale street melbourne,Central City,803,Lonsdale Street,Central City|803,-37.81051413,144.96878056
119 Lygon Street Carlton,119 lygon street carlton,Carlton,840,Lygon Street,Carlton|840,-37.80421518,144.96615671
119 Macaulay Road North Melbourne,119 macaulay road north melbourne,North and West Melbourne,847,Macaulay Road,North and West Melbourne|847,-37.79800985,144.94151954
119 Manningham Street Parkville,119 manningham street parkville,Parkville,870,Manningham Street,Parkville|870,-37.78391101,144.94102800
119 Melrose Street North Melbourne,119 melrose street north melbourne,North and West Melbourne,890,Melrose Street,North and West Melbourne|890,-37.79238465,144.94207921
119 Mile Lane Parkville,119 mile lane parkville,Parkville,897,Mile Lane,Parkville|897,-37.78667810,144.95781983
119 Millswyn Street South Yarra,119 millswyn street south yarra,South Yarra,900,Millswyn Street,South Yarra|900,-37.83460124,144.98046471
119 Munster Terrace North Melbourne,119 munster terrace north melbourne,North and West Melbourne,920,Munster Terrace,North and West Melbourne|920,-37.80040168,144.94310598
119 Neill Street Carlton,119 neill street carlton,Carlton,925,Neill Street,Carlton|925,-37.79466803,144.97124699
119 Newman Street Kensington,119 newman street kensington,Kensington,2032,Newman Street,Kensington|2032,-37.79509542,144.92283443
119 Nicholson Street Carlton,119 nicholson street carlton,Carlton,931,Nicholson Street,Carlton|931,-37.79759750,144.97477017
119 O'shanassy Street North Melbourne,119 o'shanassy street north melbourne,North and West Melbourne,949,O'shanassy Street,North and West Melbourne|949,-37.79988263,144.94545825
119 Ormond Street Kensington,119 ormond street kensington,Kensington,947,Ormond Street,Kensington|947,-37.79890777,144.92686920
119 Palmerston Street Carlton,119 palmerston street carlton,Carlton,955,Palmerston Street,Carlton|955,-37.79649505,144.97116643
119 Park Drive Parkville,119 park drive parkville,Parkville,956,Park Drive,Parkville|956,-37.79502006,144.95488790
119 Park Street South Yarra,119 park street south yarra,South Yarra,960,Park Street,South Yarra|960,-37.83446288,144.98235013
119 Pearl River Road Docklands,119 pearl river road docklands,Docklands,119108,Pearl River Road,Docklands|119108,-37.81187940,144.93598709
119 Peel Street North Melbourne,119 peel street north melbourne,North and West Melbourne,973,Peel Street,North and West Melbourne|973,-37.80525038,144.95586465
119 Pelham Street Carlton,119 pelham street carlton,Carlton,975,Pelham Street,Carlton|975,-37.80271005,144.96427886
119 Powlett Street East Melbourne,119 powlett street east melbourne,East Melbourne,994,Powlett Street,East Melbourne|994,-37.81269615,144.98564960
119 Princes Street Carlton,119 princes street carlton,Carlton,999,Princes Street,Carlton|999,-37.79276046,144.97177242
119 Punt Road Melbourne,119 punt road melbourne,Central City,1004,Punt Road,Central City|1004,-37.85049938,144.98410026
119 Queen Street Melbourne,119 queen street melbourne,Central City,1010,Queen Street,Central City|1010,-37.81577279,144.96085346
119 Queens Bridge Street Southbank,119 queens bridge street southbank,Southbank,1009,Queens Bridge Street,Southbank|1009,-37.82490177,144.96045615
119 Queensberry Street Carlton,119 queensberry street carlton,Carlton,1008,Queensberry Street,Carlton|1008,-37.80490481,144.96502442
119 Racecourse Road North Melbourne,119 racecourse road north melbourne,North and West Melbourne,119624,Racecourse Road,North and West Melbourne|119624,-37.78909383,144.93790328
119 Rankins Road Kensington,119 rankins road kensington,Kensington,119633,Rankins Road,Kensington|119633,-37.79237392,144.93143977
119 Rathdowne Street Carlton,119 rathdowne street carlton,Carlton,1024,Rathdowne Street,Carlton|1024,-37.80413584,144.96919187
119 Rosslyn Street West Melbourne,119 rosslyn street west melbourne,North and West Melbourne,1038,Rosslyn Street,North and West Melbourne|1038,-37.80886644,144.95056304
119 Royal Parade Parkville,119 royal parade parkville,Parkville,1041,Royal Parade,Parkville|1041,-37.79342722,144.95797881
119 Russell Street Melbourne,119 russell street melbourne,Central City,1045,Russell Street,Central City|1045,-37.81368353,144.96831624
119 Silk Place West Melbourne,119 silk place west melbourne,North and West Melbourne,1432,Silk Place,North and West Melbourne|1432,-37.80498151,144.94356531
119 Sims Street West Melbourne,119 sims street west melbourne,North and West Melbourne,1074,Sims Street,North and West Melbourne|1074,-37.80417437,144.90910759
119 Spencer Street Docklands,119 spencer street docklands,Docklands,1086,Spencer Street,Docklands|1086,-37.81823019,144.95358783
119 Spring Street Melbourne,119 spring street melbourne,Central City,1088,Spring Street,Central City|1088,-37.81195938,144.97313628
119 Stanley Street West Melbourne,119 stanley street west melbourne,North and West Melbourne,1089,Stanley Street,North and West Melbourne|1089,-37.80917705,144.94781493
119 Station Street Carlton,119 station street carlton,Carlton,1092,Station Street,Carlton|1092,-37.79453408,144.97435894
119 Stockmans Way Kensington,119 stockmans way kensington,Kensington,1438,Stockmans Way,Kensington|1438,-37.79224646,144.91936518
119 Story Street Parkville,119 story street parkville,Parkville,1101,Story Street,Parkville|1101,-37.79681359,144.95416062
119 Stubbs Street Kensington,119 stubbs street kensington,Kensington,119628,Stubbs Street,Kensington|119628,-37.79282552,144.93540420
119 Studio Lane Docklands,119 studio lane docklands,Docklands,119761,Studio Lane,Docklands|119761,-37.81344586,144.93796744
119 Sturt Street Southbank,119 sturt street southbank,Southbank,364,Sturt Street,Southbank|364,-37.82699358,144.96647067
119 Swanston Street Melbourne,119 swanston street melbourne,Central City,1114,Swanston Street,Central City|1114,-37.81486230,144.96606425
119 Tennyson Street Kensington,119 tennyson street kensington,Kensington,1119,Tennyson Street,Kensington|1119,-37.79962983,144.92740742
119 The Crescent Kensington,119 the crescent kensington,Kensington,1439,The Crescent,Kensington|1439,-37.79502690,144.91918864
119 Therry Street Melbourne,119 therry street melbourne,Central City,1120,Therry Street,Central City|1120,-37.80751577,144.95883131
119 Turner Street Port Melbourne,119 turner street port melbourne,Fishermans Bend,1380,Turner Street,Fishermans Bend|1380,-37.82377944,144.92882215
119 Victoria Street Melbourne,119 victoria street melbourne,Central City,1152,Victoria Street,Central City|1152,-37.80617385,144.95740139
119 Walsh Street South Yarra,119 walsh street south yarra,South Yarra,1155,Walsh Street,South Yarra|1155,-37.83545086,144.98520775
119 Wellington Parade South East Melbourne,119 wellington parade south east melbourne,East Melbourne,1170,Wellington Parade South,East Melbourne|1170,-37.81674827,144.98060550
119 Wells Street Southbank,119 wells street southbank,Southbank,1352,Wells Street,Southbank|1352,-37.82887801,144.96881079
119 Westbourne Road Kensington,119 westbourne road kensington,Kensington,1173,Westbourne Road,Kensington|1173,-37.79438906,144.92012442
119 William Street Melbourne,119 william street melbourne,Central City,1179,William Street,Central City|1179,-37.81636946,144.95833778
119 Wurundjeri Way Docklands,119 wurundjeri way docklands,Docklands,117786,Wurundjeri Way,Docklands|117786,-37.81650907,144.94935557
1191 Hoddle Street East Melbourne,1191 hoddle street east melbourne,East Melbourne,714,Hoddle Street,East Melbourne|714,-37.81296440,144.99060409
1193 Hoddle Street East Melbourne,1193 hoddle street east melbourne,East Melbourne,714,Hoddle Street,East Melbourne|714,-37.81291943,144.99061169
1195 Hoddle Street East Melbourne,1195 hoddle street east melbourne,East Melbourne,714,Hoddle Street,East Melbourne|714,-37.81287691,144.99061887
1197 Hoddle Street East Melbourne,1197 hoddle street east melbourne,East Melbourne,714,Hoddle Street,East Melbourne|714,-37.81283439,144.99062604
1199 Hoddle Street East Melbourne,1199 hoddle street east melbourne,East Melbourne,714,Hoddle Street,East Melbourne|714,-37.81279187,144.99063322
119A Arden Street North Melbourne,119a arden street north melbourne,North and West Melbourne,395,Arden Street,North and West Melbourne|395,-37.80074276,144.94658544
119B Errol Street North Melbourne,119b errol street north melbourne,North and West Melbourne,607,Errol Street,North and West Melbourne|607,-37.80211352,144.94961777
119W Toorak Road South Yarra,119w toorak road south yarra,South Yarra,1127,Toorak Road,South Yarra|1127,-37.83793804,144.98271534
11A Bligh Place Melbourne,11a bligh place melbourne,Central City,1210,Bligh Place,Central City|1210,-37.81707571,144.96364362
11A Hardiman Street Kensington,11a hardiman street kensington,Kensington,688,Hardiman Street,Kensington|688,-37.79542205,144.93199817
11A Highlander Lane Melbourne,11a highlander lane melbourne,Central City,710,Highlander Lane,Central City|710,-37.81969180,144.95801060
11A Mulgrave Street Kensington,11a mulgrave street kensington,Kensington,119640,Mulgrave Street,Kensington|119640,-37.79060687,144.93079306
11B Highlander Lane Melbourne,11b highlander lane melbourne,Central City,710,Highlander Lane,Central City|710,-37.81954618,144.95794377
11W Toorak Road Melbourne,11w toorak road melbourne,Central City,1127,Toorak Road,Central City|1127,-37.83717974,144.97686261
12 A'Beckett Street Melbourne,12 a'beckett street melbourne,Central City,368,A'Beckett Street,Central City|368,-37.80858761,144.96281091
12 Abbotsford Street West Melbourne,12 abbotsford street west melbourne,North and West Melbourne,367,Abbotsford Street,North and West Melbourne|367,-37.80807366,144.94370601
12 Acland Street South Yarra,12 acland street south yarra,South Yarra,369,Acland Street,South Yarra|369,-37.83338090,144.98532799
12 Adams Street South Yarra,12 adams street south yarra,South Yarra,370,Adams Street,South Yarra|370,-37.83674416,144.97739952
12 Adderley Street West Melbourne,12 adderley street west melbourne,North and West Melbourne,371,Adderley Street,North and West Melbourne|371,-37.81313143,144.95012585
12 Agnes Street East Melbourne,12 agnes street east melbourne,East Melbourne,372,Agnes Street,East Melbourne|372,-37.81811311,144.97994805
12 Airlie Street South Yarra,12 airlie street south yarra,South Yarra,373,Airlie Street,South Yarra|373,-37.83267021,144.98688059
12 Albermarle Street Kensington,12 albermarle street kensington,Kensington,374,Albermarle Street,Kensington|374,-37.79614100,144.93337527
12 Albert Coates Lane Melbourne,12 albert coates lane melbourne,Central City,117923,Albert Coates Lane,Central City|117923,-37.81091047,144.96529047
12 Albert Street East Melbourne,12 albert street east melbourne,East Melbourne,375,Albert Street,East Melbourne|375,-37.81104828,144.99053813
12 Alfred Place Melbourne,12 alfred place melbourne,Central City,377,Alfred Place,Central City|377,-37.81394178,144.97006862
12 Alfred Street North Melbourne,12 alfred street north melbourne,North and West Melbourne,119625,Alfred Street,North and West Melbourne|119625,-37.79075582,144.94150025
12 Alma Place Carlton,12 alma place carlton,Carlton,379,Alma Place,Carlton|379,-37.80565002,144.96109783
12 Altona Street Kensington,12 altona street kensington,Kensington,381,Altona Street,Kensington|381,-37.79901737,144.92751206
12 Altson Lane Melbourne,12 altson lane melbourne,Central City,380,Altson Lane,Central City|380,-37.81391051,144.95420930
12 Anderson Street South Yarra,12 anderson street south yarra,South Yarra,383,Anderson Street,South Yarra|383,-37.83392129,144.98385159
12 Anderson Street West Melbourne,12 anderson street west melbourne,North and West Melbourne,385,Anderson Street,North and West Melbourne|385,-37.80580298,144.94199962
12 Anderson Walk Kensington,12 anderson walk kensington,Kensington,3237,Anderson Walk,Kensington|3237,-37.79674175,144.92040546
12 Appleton Dock Road West Melbourne,12 appleton dock road west melbourne,North and West Melbourne,392,Appleton Dock Road,North and West Melbourne|392,-37.81055841,144.92822873
12 Aquitania Way Docklands,12 aquitania way docklands,Docklands,117870,Aquitania Way,Docklands|117870,-37.81371931,144.94223285
12 Arden Street North Melbourne,12 arden street north melbourne,North and West Melbourne,395,Arden Street,North and West Melbourne|395,-37.80107138,144.95211062
12 Argyle Place North Carlton,12 argyle place north carlton,Carlton,397,Argyle Place North,Carlton|397,-37.80190438,144.96616410
12 Argyle Place South Carlton,12 argyle place south carlton,Carlton,398,Argyle Place South,Carlton|398,-37.80335330,144.96597370
12 Armadale Street Melbourne,12 armadale street melbourne,Central City,384,Armadale Street,Central City|384,-37.84107019,144.97819443
12 Arnold Street South Yarra,12 arnold street south yarra,South Yarra,399,Arnold Street,South Yarra|399,-37.83617491,144.97653538
12 Artemis Lane Melbourne,12 artemis lane melbourne,Central City,117925,Artemis Lane,Central City|117925,-37.81044584,144.96657651
12 Astor Place Carlton,12 astor place carlton,Carlton,1203,Astor Place,Carlton|1203,-37.79681141,144.96814084
12 Atkin Street North Melbourne,12 atkin street north melbourne,North and West Melbourne,403,Atkin Street,North and West Melbourne|403,-37.80367107,144.94873296
12 Augusta Avenue Docklands,12 augusta avenue docklands,Docklands,120052,Augusta Avenue,Docklands|120052,-37.81583191,144.93748664
12 Aurora Lane Docklands,12 aurora lane docklands,Docklands,117945,Aurora Lane,Docklands|117945,-37.82098598,144.95166080
12 Austin Place West Melbourne,12 austin place west melbourne,North and West Melbourne,1876,Austin Place,North and West Melbourne|1876,-37.80627658,144.94705254
12 Austral Lane Melbourne,12 austral lane melbourne,Central City,404,Austral Lane,Central City|404,-37.81640262,144.96080321
12 Baillie Street North Melbourne,12 baillie street north melbourne,North and West Melbourne,408,Baillie Street,North and West Melbourne|408,-37.80138576,144.94740614
12 Bakery Lane North Melbourne,12 bakery lane north melbourne,North and West Melbourne,2919,Bakery Lane,North and West Melbourne|2919,-37.80339789,144.94912991
12 Balmer Street Kensington,12 balmer street kensington,Kensington,3238,Balmer Street,Kensington|3238,-37.79699774,144.91925701
12 Balston Street Southbank,12 balston street southbank,Southbank,1347,Balston Street,Southbank|1347,-37.82556110,144.96144650
12 Bangalore Street Kensington,12 bangalore street kensington,Kensington,411,Bangalore Street,Kensington|411,-37.79331200,144.92566152
12 Bank Place Melbourne,12 bank place melbourne,Central City,412,Bank Place,Central City|412,-37.81663277,144.96045781
12 Barkly Street Carlton,12 barkly street carlton,Carlton,415,Barkly Street,Carlton|415,-37.79819275,144.97423427
12 Barnett Street Kensington,12 barnett street kensington,Kensington,119632,Barnett Street,Kensington|119632,-37.79055960,144.93248676
12 Barrett Street Kensington,12 barrett street kensington,Kensington,418,Barrett Street,Kensington|418,-37.79700875,144.93411199
12 Barrup Street Carlton,12 barrup street carlton,Carlton,419,Barrup Street,Carlton|419,-37.80020717,144.97373782
12 Bateman Road Kensington,12 bateman road kensington,Kensington,1444,Bateman Road,Kensington|1444,-37.79500674,144.91881496
12 Batman Street West Melbourne,12 batman street west melbourne,North and West Melbourne,423,Batman Street,North and West Melbourne|423,-37.81033703,144.95242160
12 Batmans Hill Drive Docklands,12 batmans hill drive docklands,Docklands,117957,Batmans Hill Drive,Docklands|117957,-37.82171338,144.94970369
12 Bayles Street Parkville,12 bayles street parkville,Parkville,424,Bayles Street,Parkville|424,-37.79436714,144.95740989
12 Bayswater Road Kensington,12 bayswater road kensington,Kensington,425,Bayswater Road,Kensington|425,-37.79261712,144.92502792
12 Bedford Place North Melbourne,12 bedford place north melbourne,North and West Melbourne,427,Bedford Place,North and West Melbourne|427,-37.80131112,144.95612591
12 Bedford Street North Melbourne,12 bedford street north melbourne,North and West Melbourne,428,Bedford Street,North and West Melbourne|428,-37.80248184,144.95593529
12 Bellair Street Kensington,12 bellair street kensington,Kensington,430,Bellair Street,Kensington|430,-37.78857077,144.92884204
12 Bendall Street Kensington,12 bendall street kensington,Kensington,119679,Bendall Street,Kensington|119679,-37.78896791,144.92422636
12 Bendigo Street North Melbourne,12 bendigo street north melbourne,North and West Melbourne,434,Bendigo Street,North and West Melbourne|434,-37.80216699,144.95077243
12 Bennetts Lane Melbourne,12 bennetts lane melbourne,Central City,437,Bennetts Lane,Central City|437,-37.80907671,144.96783354
12 Bent Street Kensington,12 bent street kensington,Kensington,440,Bent Street,Kensington|440,-37.79603657,144.93509691
12 Berkeley Street Carlton,12 berkeley street carlton,Carlton,441,Berkeley Street,Carlton|441,-37.80487061,144.95994288
12 Birch Lane Kensington,12 birch lane kensington,Kensington,357,Birch Lane,Kensington|357,-37.79290353,144.92112438
12 Blackwood Street North Melbourne,12 blackwood street north melbourne,North and West Melbourne,446,Blackwood Street,North and West Melbourne|446,-37.80176152,144.95473515
12 Bligh Place Melbourne,12 bligh place melbourne,Central City,1210,Bligh Place,Central City|1210,-37.81710897,144.96370448
12 Block Place Melbourne,12 block place melbourne,Central City,448,Block Place,Central City|448,-37.81551687,144.96445084
12 Bond Street Melbourne,12 bond street melbourne,Central City,451,Bond Street,Central City|451,-37.81841667,144.96293743
12 Boundary Road North Melbourne,12 boundary road north melbourne,North and West Melbourne,453,Boundary Road,North and West Melbourne|453,-37.79505789,144.93904061
12 Bourke Street Melbourne,12 bourke street melbourne,Central City,455,Bourke Street,Central City|455,-37.81134962,144.97256750
12 Bouverie Street Carlton,12 bouverie street carlton,Carlton,456,Bouverie Street,Carlton|456,-37.80615617,144.96164985
12 Bradfield Lane Kensington,12 bradfield lane kensington,Kensington,119678,Bradfield Lane,Kensington|119678,-37.78868931,144.92558028
12 Brahe Place East Melbourne,12 brahe place east melbourne,East Melbourne,3059,Brahe Place,East Melbourne|3059,-37.81618261,144.98971163
12 Bridleway Walk Parkville,12 bridleway walk parkville,Parkville,120159,Bridleway Walk,Parkville|120159,-37.77961719,144.95910349
12 Bromby Street Melbourne,12 bromby street melbourne,Central City,466,Bromby Street,Central City|466,-37.83505888,144.97818119
12 Brougham Street North Melbourne,12 brougham street north melbourne,North and West Melbourne,467,Brougham Street,North and West Melbourne|467,-37.79367699,144.94618195
12 Brown Alley Melbourne,12 brown alley melbourne,Central City,1265,Brown Alley,Central City|1265,-37.81502263,144.95556926
12 Browns Hill Place West Melbourne,12 browns hill place west melbourne,North and West Melbourne,117912,Browns Hill Place,North and West Melbourne|117912,-37.80284520,144.93066039
12 Bruce Street Kensington,12 bruce street kensington,Kensington,469,Bruce Street,Kensington|469,-37.79836294,144.93395463
12 Buckley Walk Docklands,12 buckley walk docklands,Docklands,120089,Buckley Walk,Docklands|120089,-37.81989736,144.94502052
12 Buncle Street North Melbourne,12 buncle street north melbourne,North and West Melbourne,119651,Buncle Street,North and West Melbourne|119651,-37.79524804,144.94018184
12 Bunjil Way Parkville,12 bunjil way parkville,Parkville,119268,Bunjil Way,Parkville|119268,-37.78054848,144.94064645
12 Burchett Lane East Melbourne,12 burchett lane east melbourne,East Melbourne,1402,Burchett Lane,East Melbourne|1402,-37.81497678,144.98992142
12 Butler Lane Parkville,12 butler lane parkville,Parkville,117752,Butler Lane,Parkville|117752,-37.79516617,144.95643852
12 Byron Street North Melbourne,12 byron street north melbourne,North and West Melbourne,474,Byron Street,North and West Melbourne|474,-37.80188129,144.95220604
12 Cade Square Parkville,12 cade square parkville,Parkville,119688,Cade Square,Parkville|119688,-37.77772342,144.93963469
12 Cade Way Parkville,12 cade way parkville,Parkville,119270,Cade Way,Parkville|119270,-37.77853814,144.94086000
12 Cakebread Mews Kensington,12 cakebread mews kensington,Kensington,1403,Cakebread Mews,Kensington|1403,-37.79276223,144.91894615
12 Calwell Street Kensington,12 calwell street kensington,Kensington,119673,Calwell Street,Kensington|119673,-37.78846442,144.92705891
12 Canning Street Carlton,12 canning street carlton,Carlton,479,Canning Street,Carlton|479,-37.80005628,144.97266178
12 Canning Street North Melbourne,12 canning street north melbourne,North and West Melbourne,478,Canning Street,North and West Melbourne|478,-37.79590360,144.94395069
12 Capel Place North Melbourne,12 capel place north melbourne,North and West Melbourne,481,Capel Place,North and West Melbourne|481,-37.80420502,144.95479499
12 Capel Street West Melbourne,12 capel street west melbourne,North and West Melbourne,482,Capel Street,North and West Melbourne|482,-37.80781857,144.95497916
12 Caravel Lane Docklands,12 caravel lane docklands,Docklands,117868,Caravel Lane,Docklands|117868,-37.81399736,144.94155215
12 Cardigan Street Carlton,12 cardigan street carlton,Carlton,483,Cardigan Street,Carlton|483,-37.80647487,144.96460582
12 Carlton Place Carlton,12 carlton place carlton,Carlton,1218,Carlton Place,Carlton|1218,-37.80416193,144.96287101
12 Carlton Street Carlton,12 carlton street carlton,Carlton,486,Carlton Street,Carlton|486,-37.80106563,144.97377162
12 Carrangall Place Parkville,12 carrangall place parkville,Parkville,119266,Carrangall Place,Parkville|119266,-37.77953593,144.94109328
12 Carroll Street North Melbourne,12 carroll street north melbourne,North and West Melbourne,487,Carroll Street,North and West Melbourne|487,-37.79582044,144.94586890
12 Carson Place Melbourne,12 carson place melbourne,Central City,490,Carson Place,Central City|490,-37.81508741,144.96507279
12 Casamento Place Carlton,12 casamento place carlton,Carlton,117731,Casamento Place,Carlton|117731,-37.79708292,144.97097885
12 Cathedral Place East Melbourne,12 cathedral place east melbourne,East Melbourne,494,Cathedral Place,East Melbourne|494,-37.81081050,144.97758219
12 Catherine Street Southbank,12 catherine street southbank,Southbank,1362,Catherine Street,Southbank|1362,-37.82696060,144.95982552
12 Caytre Crescent North Melbourne,12 caytre crescent north melbourne,North and West Melbourne,119653,Caytre Crescent,North and West Melbourne|119653,-37.79443214,144.93965388
12 Celestial Avenue Melbourne,12 celestial avenue melbourne,Central City,496,Celestial Avenue,Central City|496,-37.81190344,144.96630520
12 Central Boulevard Port Melbourne,12 central boulevard port melbourne,Fishermans Bend,1383,Central Boulevard,Fishermans Bend|1383,-37.82200084,144.91987180
12 Centre Place Melbourne,12 centre place melbourne,Central City,499,Centre Place,Central City|499,-37.81663256,144.96556436
12 Centreway Arcade Melbourne,12 centreway arcade melbourne,Central City,1602,Centreway Arcade,Central City|1602,-37.81625871,144.96533375
12 Chapman Street North Melbourne,12 chapman street north melbourne,North and West Melbourne,500,Chapman Street,North and West Melbourne|500,-37.79732167,144.95000476
12 Charles Street Carlton,12 charles street carlton,Carlton,502,Charles Street,Carlton|502,-37.79454213,144.97267472
12 Charles Street East Melbourne,12 charles street east melbourne,East Melbourne,501,Charles Street,East Melbourne|501,-37.81822382,144.98113788
12 Chelmsford Street Kensington,12 chelmsford street kensington,Kensington,504,Chelmsford Street,Kensington|504,-37.79648979,144.93220491
12 Chetwynd Street West Melbourne,12 chetwynd street west melbourne,North and West Melbourne,506,Chetwynd Street,North and West Melbourne|506,-37.80763627,144.95199513
12 Chinnock Lane Kensington,12 chinnock lane kensington,Kensington,1296,Chinnock Lane,Kensington|1296,-37.79321209,144.92137148
12 Church Street Carlton,12 church street carlton,Carlton,512,Church Street,Carlton|512,-37.80100450,144.96329871
12 Church Street Melbourne,12 church street melbourne,Central City,509,Church Street,Central City|509,-37.81664450,144.95741628
12 Church Street Parkville,12 church street parkville,Parkville,510,Church Street,Parkville|510,-37.78812212,144.94159695
12 City Road Southbank,12 city road southbank,Southbank,1345,City Road,Southbank|1345,-37.82089862,144.96756888
12 Clare Lane Kensington,12 clare lane kensington,Kensington,120165,Clare Lane,Kensington|120165,-37.79109356,144.93105521
12 Clarendon Street East Melbourne,12 clarendon street east melbourne,East Melbourne,515,Clarendon Street,East Melbourne|515,-37.81572541,144.98282343
12 Clowes Street South Yarra,12 clowes street south yarra,South Yarra,517,Clowes Street,South Yarra|517,-37.83073693,144.98693694
12 Cobden Street North Melbourne,12 cobden street north melbourne,North and West Melbourne,520,Cobden Street,North and West Melbourne|520,-37.80541552,144.95733365
12 Coghlan Way Kensington,12 coghlan way kensington,Kensington,117794,Coghlan Way,Kensington|117794,-37.79524954,144.92330832
12 Cohen Place Melbourne,12 cohen place melbourne,Central City,523,Cohen Place,Central City|523,-37.81101431,144.96920321
12 Colgan Street Carlton,12 colgan street carlton,Carlton,120134,Colgan Street,Carlton|120134,-37.79388602,144.97060017
12 Collett Street Kensington,12 collett street kensington,Kensington,119630,Collett Street,Kensington|119630,-37.78922380,144.93357970
12 Collins Street Melbourne,12 collins street melbourne,Central City,526,Collins Street,Central City|526,-37.81338943,144.97320141
12 Collins Way Melbourne,12 collins way melbourne,Central City,527,Collins Way,Central City|527,-37.81589075,144.96240161
12 Commercial Road Melbourne,12 commercial road melbourne,Central City,529,Commercial Road,Central City|529,-37.84483239,144.97963028
12 Cook Street Southbank,12 cook street southbank,Southbank,1386,Cook Street,Southbank|1386,-37.82185726,144.96436313
12 Cornish Lane Kensington,12 cornish lane kensington,Kensington,2944,Cornish Lane,Kensington|2944,-37.79379291,144.92036431
12 Coromandel Place Melbourne,12 coromandel place melbourne,Central City,535,Coromandel Place,Central City|535,-37.81326880,144.96926837
12 Corrs Lane Melbourne,12 corrs lane melbourne,Central City,538,Corrs Lane,Central City|538,-37.81127683,144.96835468
12 Courtney Street North Melbourne,12 courtney street north melbourne,North and West Melbourne,541,Courtney Street,North and West Melbourne|541,-37.80264445,144.95504458
12 Coventry Street Southbank,12 coventry street southbank,Southbank,1360,Coventry Street,Southbank|1360,-37.82871390,144.97051791
12 Coverlid Place Melbourne,12 coverlid place melbourne,Central City,542,Coverlid Place,Central City|542,-37.81206749,144.96846028
12 Crichton Lane Kensington,12 crichton lane kensington,Kensington,1297,Crichton Lane,Kensington|1297,-37.79274352,144.92206827
12 Crossley Street Melbourne,12 crossley street melbourne,Central City,545,Crossley Street,Central City|545,-37.81149465,144.97118772
12 Cuffe Walk Kensington,12 cuffe walk kensington,Kensington,1409,Cuffe Walk,Kensington|1409,-37.79068816,144.92292639
