scientific_name,family,order,lga_occurrence_count,suburb_count,suburbs,exact_local_species_evidence,evidence_level,classification_basis
Lemidia accinctus,Cleridae,Coleoptera,2,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Linepithema humile,Formicidae,Hymenoptera,10,4,Carlton|Melbourne|Parkville|Port Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Lipotriches australica,Halictidae,Hymenoptera,4,2,Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Lipotriches flavoviridis,Halictidae,Hymenoptera,3,1,Parkville,True,exact_species_label,species labelled pol=1 in supplied Melbourne functional-group study
Lissopimpla excelsa,Ichneumonidae,Hymenoptera,23,5,Carlton|Docklands|Melbourne|Parkville|Southbank,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Lucilia porphyrina,Calliphoridae,Diptera,2,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Lucilia sericata,Calliphoridae,Diptera,8,5,North Melbourne|Parkville|Port Melbourne|Southbank|West Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Mayriella abstinens,Formicidae,Hymenoptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Melangyna damastor,Syrphidae,Diptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Melangyna jacksoni,Syrphidae,Diptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Melangyna viridiceps,Syrphidae,Diptera,81,9,Carlton|East Melbourne|Kensington|Melbourne|Parkville|Port Melbourne|South Yarra|Southbank|West Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Mordella sydneyana,Mordellidae,Coleoptera,1,1,Carlton,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Musca vetustissima,Muscidae,Diptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Muscina stabulans,Muscidae,Diptera,3,3,Carlton|Parkville|West Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Myrmecia nigriscapa,Formicidae,Hymenoptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Myrmecia piliventris,Formicidae,Hymenoptera,14,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Myrmecia pyriformis,Formicidae,Hymenoptera,27,4,Kensington|Parkville|Port Melbourne|South Yarra,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Notoncus hickmani,Formicidae,Hymenoptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Notopilo variipes,Cleridae,Coleoptera,2,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Nysius caledoniae,Lygaeidae,Hemiptera,2,1,Melbourne,True,exact_species_label,species labelled pol=1 in supplied Melbourne functional-group study
Nysius vinitor,Lygaeidae,Hemiptera,6,3,Carlton|Melbourne|Parkville,True,exact_species_label,species labelled pol=1 in supplied Melbourne functional-group study
Ochetellus glaber,Formicidae,Hymenoptera,2,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Ochetellus punctatissimus,Formicidae,Hymenoptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
